"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,10000,942780
CN,CHINA,100,1445,40600,3178381
IT,ITALY,0,0,36075,5087184
KR,"KOREA,REPUBLIC OF",0,0,237343,17899140
MY,MALAYSIA,0,0,2000,182070
PH,PHILIPPINES,0,0,3000,551862
GB,UNITED KINGDOM,15105,1180165,34605,2885631
US,UNITED STATES,0,0,10000,1067183
VN,VIETNAM,1200,287177,2400,567314
SUM,SUM,16405,1468787,376023,32361545
