"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'CIF (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'CIF (Baht)')"
AR,ARGENTINA,0,0,200,84781
AU,AUSTRALIA,16250,572773,16250,572773
BE,BELGIUM,160220,9133269,284160,16728802
CN,CHINA,248600,17224949,1151586,82573626
FI,FINLAND,0,0,2750,292465
DE,GERMANY,2506,477177,6548,1247328
HK,HONG KONG,0,0,400510,4247417
IN,INDIA,1160,71743,4660,399566
ID,INDONESIA,0,0,5600,549237
IL,ISRAEL,24000,1607286,66304,4386111
JP,JAPAN,543685,32863865,3183143,156627685
KR,"KOREA,REPUBLIC OF",1047130,45497561,5501910,242853624
MY,MALAYSIA,54484,7253048,354942,43990010
MX,MEXICO,0,0,19720,2157976
NL,NETHERLANDS,0,0,1,9152
OM,OMAN,0,0,99000,3478727
SA,SAUDI ARABIA,816750,30507756,5767050,207314796
SG,SINGAPORE,564949,23834833,2345896,106125977
CH,SWITZERLAND,0,0,70560,4007329
TW,"TAIWAN, PROVINCE OF CHINA",4200,176476,529125,23672789
TH,THAILAND,47100,1954004,61445,2235101
UA,UKRAINE,0,0,500,17876
AE,UNITED ARAB EMIRATES,52725,2125354,177975,7001840
GB,UNITED KINGDOM,0,0,3000,383653
US,UNITED STATES,37251,1804040,230123,15734852
VN,VIETNAM,0,0,658000,28508624
SUM,SUM,3621010,175104134,20940958,955202117
