"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
BD,BANGLADESH,0,0,1,67
CN,CHINA,500,33361,71764,3263203
DE,GERMANY,4,12065,5,12475
IE,IRELAND,0,0,2,1374
JP,JAPAN,11752,1441237,48145,5963715
KR,"KOREA,REPUBLIC OF",0,0,96004,4156370
MY,MALAYSIA,0,0,10,1378
SG,SINGAPORE,15000,849760,111000,5786271
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,10114
US,UNITED STATES,50,22993,151,66509
SUM,SUM,27306,2359416,327182,19261476
