"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
AU,AUSTRALIA,400,114920,4338,639051
AT,AUSTRIA,0,0,1732,2428347
BE,BELGIUM,41640,6000929,491254,88587941
CA,CANADA,4025,738962,32569,5728293
CN,CHINA,78878,4144703,1870052,104887119
CZ,CZECH REPUBLIC,0,0,4,3583
FR,FRANCE,25724,2126856,332021,30736309
DE,GERMANY,620,297012,54665,14893989
HK,HONG KONG,60,10705,289,67732
IN,INDIA,140,23982,138631,6725747
ID,INDONESIA,0,0,87615,8851550
IE,IRELAND,0,0,100,35540
IL,ISRAEL,0,0,14400,2229320
IT,ITALY,510,59300,38361,4202413
JP,JAPAN,348293,43398855,2226520,360314942
KR,"KOREA,REPUBLIC OF",440125,27089908,3771107,246869462
LU,LUXEMBOURG,14,7496,14,7496
MY,MALAYSIA,135600,11192290,1895266,153516447
MX,MEXICO,20411,1255276,102738,6324686
MA,MOROCCO,0,0,207,110098
NL,NETHERLANDS,101220,9109810,1601508,148995143
NO,NORWAY,0,0,4,2524
PH,PHILIPPINES,0,0,60,12192
SA,SAUDI ARABIA,544500,20720309,3910500,162869098
SG,SINGAPORE,57100,7931824,892805,136898009
ES,SPAIN,2750,252875,224725,19742959
CH,SWITZERLAND,0,0,3000,2421398
TW,"TAIWAN, PROVINCE OF CHINA",306426,13353857,1860539,104597697
TH,THAILAND,0,0,3463,528739
TT,TRINIDAD AND TOBAGO,0,0,12825,77357
TR,TÜRKIYE,0,0,250,92786
AE,UNITED ARAB EMIRATES,0,0,495356,20357460
GB,UNITED KINGDOM,2376,457219,23195,4072029
US,UNITED STATES,26249,5510312,539006,89892084
VN,VIETNAM,0,0,105000,27000860
SUM,SUM,2137061,153797400,20734119,1754720400
