"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'CIF (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'CIF (Baht)')"
AU,AUSTRALIA,73,12282,6570,1717581
AT,AUSTRIA,0,0,26125,1277595
BE,BELGIUM,34240,1675333,145191,11844797
BR,BRAZIL,247500,12800380,252750,13358166
KH,CAMBODIA,0,0,5,1814
CN,CHINA,25900,2566909,268643,22452224
FI,FINLAND,74250,3874945,742700,37401166
FR,FRANCE,0,0,25,19521
DE,GERMANY,339825,22829263,2485374,166452603
GR,GREECE,20,7252,20,7252
HK,HONG KONG,0,0,110,32268
IN,INDIA,1025,90669,3057,581524
ID,INDONESIA,54000,2561254,281400,18029650
IT,ITALY,20,7252,20,7523
JP,JAPAN,306438,22965629,2468041,177114884
KR,"KOREA,REPUBLIC OF",281000,16111077,2497822,140698992
KW,KUWAIT,346500,14089126,2846250,116613041
MY,MALAYSIA,4544393,191151543,26341873,1128484570
NL,NETHERLANDS,323520,18942882,2238870,129762528
NZ,NEW ZEALAND,0,0,1,6929
PH,PHILIPPINES,0,0,9,5251
PL,POLAND,0,0,8003,1324547
QA,QATAR,484500,19555661,4791500,195682122
RU,RUSSIAN FEDERATION,29,14879,29,14879
SA,SAUDI ARABIA,2633850,111334538,22072348,909076982
SG,SINGAPORE,2819513,132397820,21058797,972656482
ES,SPAIN,0,0,36250,2079292
SE,SWEDEN,0,0,2375,246231
CH,SWITZERLAND,0,0,100,85764
TW,"TAIWAN, PROVINCE OF CHINA",0,0,14525,2703248
TH,THAILAND,0,0,935,89016
AE,UNITED ARAB EMIRATES,173775,6979068,1259612,51361174
GB,UNITED KINGDOM,0,0,6969,1529563
US,UNITED STATES,75550,7935546,920139,79240368
VN,VIETNAM,25,6126,23404,3365907
SUM,SUM,12765946,587909434,90799842,4185325454
