"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'CIF (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'CIF (Baht)')"
CN,CHINA,0,0,474200,31480677
IN,INDIA,0,0,100,3904
JP,JAPAN,800,42668,58100,3478010
KR,"KOREA,REPUBLIC OF",0,0,3975,209748
NL,NETHERLANDS,0,0,78,51774
SA,SAUDI ARABIA,0,0,717750,24492055
SG,SINGAPORE,51000,2117631,610500,21930833
TW,"TAIWAN, PROVINCE OF CHINA",2075,171599,5150,446367
AE,UNITED ARAB EMIRATES,0,0,50,1896
US,UNITED STATES,0,0,22862,2195947
VN,VIETNAM,0,0,200,9763
SUM,SUM,53875,2331898,1892965,84300974
