"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'CIF (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'CIF (Baht)')"
AT,AUSTRIA,170,308376,26845,3506619
BE,BELGIUM,0,0,7,1097
BN,BRUNEI DARUSSALAM,0,0,1,300
CN,CHINA,2719722,136184104,13448954,692182479
DK,DENMARK,0,0,1,1887
FI,FINLAND,0,0,0,400
FR,FRANCE,945,310459,3445,596445
DE,GERMANY,18005,2325067,78421,10561575
HK,HONG KONG,1,100,138,54408
IN,INDIA,42525,1417597,671086,27921097
ID,INDONESIA,46250,5220869,211150,22757296
IT,ITALY,0,0,4050,396093
JP,JAPAN,1133411,73965728,4354133,310875991
KR,"KOREA,REPUBLIC OF",717156,39817309,6757786,367932663
LV,LATVIA,0,0,1000,118306
MY,MALAYSIA,31521,4552573,577168,48383479
MX,MEXICO,0,0,155,294728
NL,NETHERLANDS,49500,6079031,297100,31084055
NZ,NEW ZEALAND,0,0,3050,303644
OM,OMAN,297000,13438158,2178000,96704768
SA,SAUDI ARABIA,2196310,106593900,12548445,568074790
SG,SINGAPORE,447511,23055675,3284349,166334085
ZA,SOUTH AFRICA,0,0,24750,1133373
CH,SWITZERLAND,0,0,100,38234
TW,"TAIWAN, PROVINCE OF CHINA",29030,3411499,315243,27717184
TH,THAILAND,0,0,0,324
AE,UNITED ARAB EMIRATES,1064250,49380530,5826501,262524002
GB,UNITED KINGDOM,0,0,33,66166
US,UNITED STATES,6577,2857972,47215,12652924
VN,VIETNAM,72682,1709533,1364535,52512092
SUM,SUM,8872566,470628480,52023661,2704730504
