"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,62305,806504
AT,AUSTRIA,6000,586610,18000,1681483
BE,BELGIUM,86750,7544008,442925,39265517
BR,BRAZIL,0,0,25,10215
CA,CANADA,54390,834673,180915,4462592
CN,CHINA,627462,28484772,9104687,363981578
FI,FINLAND,75,37517,100,49546
FR,FRANCE,0,0,1725,359058
DE,GERMANY,21252,1622993,144711,12013623
HK,HONG KONG,46900,594989,96993,1233831
IN,INDIA,0,0,11009,1574610
ID,INDONESIA,500,61453,1782,179026
IL,ISRAEL,0,0,8485,522647
IT,ITALY,1527,583764,4453,1495003
JP,JAPAN,234115,27150926,2380492,265375166
KR,"KOREA,REPUBLIC OF",584950,28236534,4806326,250389984
LU,LUXEMBOURG,0,0,8,5021
MY,MALAYSIA,260,82093,188231,11462256
NL,NETHERLANDS,0,0,99456,3339624
SA,SAUDI ARABIA,0,0,544500,16091157
SG,SINGAPORE,445161,17002057,7350414,269165755
ES,SPAIN,40000,1046408,95778,3133950
SE,SWEDEN,150000,11047655,350000,25654717
CH,SWITZERLAND,1,985,2,4140
TW,"TAIWAN, PROVINCE OF CHINA",5500,605352,123486,8352068
TH,THAILAND,4525,332843,246075,13071108
AE,UNITED ARAB EMIRATES,99830,3248629,1808780,59010388
GB,UNITED KINGDOM,5400,378140,95680,8184201
US,UNITED STATES,1600510,66370014,18869806,841246633
VN,VIETNAM,96400,4831134,459717,23280236
SUM,SUM,4111508,200683549,47496866,2225401637
