"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'CIF (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'CIF (Baht)')"
BE,BELGIUM,12000,1254459,36000,3601158
CN,CHINA,50000,3518254,214427,27536977
FR,FRANCE,0,0,2200,416650
HK,HONG KONG,0,0,2449,220081
IN,INDIA,750,175732,1250,285643
IT,ITALY,27500,5630365,225475,47370837
JP,JAPAN,30450,3581257,246152,26844599
KR,"KOREA,REPUBLIC OF",21600,1526115,285400,21695440
SG,SINGAPORE,0,0,56000,4028108
SE,SWEDEN,0,0,7850,1311226
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6100,852600
TH,THAILAND,0,0,3250,221240
AE,UNITED ARAB EMIRATES,0,0,150800,7736157
US,UNITED STATES,41910,1963986,567602,46883467
VN,VIETNAM,0,0,12300,719267
SUM,SUM,184210,17650168,1817255,189723450
