"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
BE,BELGIUM,22970,886135,22970,886135
CN,CHINA,247298,6475529,247298,6475529
DE,GERMANY,22410,943552,22410,943552
IT,ITALY,55250,6981400,55250,6981400
JP,JAPAN,219039,12117293,219039,12117293
KR,"KOREA,REPUBLIC OF",2175000,101188679,2175000,101188679
MY,MALAYSIA,28950,2628208,28950,2628208
PT,PORTUGAL,9504,1009924,9504,1009924
SA,SAUDI ARABIA,272250,11475094,272250,11475094
SG,SINGAPORE,56,8998,56,8998
TW,"TAIWAN, PROVINCE OF CHINA",1830000,87796372,1830000,87796372
GB,UNITED KINGDOM,20495,2051030,20495,2051030
US,UNITED STATES,282825,12413738,282825,12413738
VN,VIETNAM,1860,168796,1860,168796
SUM,SUM,5187907,246144748,5187907,246144748
