"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5000,403058
AT,AUSTRIA,0,0,2750,309830
BD,BANGLADESH,0,0,50,1524
BE,BELGIUM,54900,3868205,410813,22642811
BR,BRAZIL,0,0,1100,174991
CA,CANADA,0,0,27000,1793445
CN,CHINA,109699,3945660,494162,22828513
FR,FRANCE,0,0,49500,2763935
DE,GERMANY,0,0,2015,361865
HK,HONG KONG,0,0,6,8808
IN,INDIA,25,136920,3725,6092606
IT,ITALY,36500,4596271,79350,8862249
JP,JAPAN,257548,19202154,2125533,139678853
KR,"KOREA,REPUBLIC OF",897900,70760871,8232056,567331347
MY,MALAYSIA,56355,4587092,194656,15176275
PT,PORTUGAL,0,0,29376,3306041
QA,QATAR,0,0,34000,1466403
SA,SAUDI ARABIA,99000,7988762,297000,22859781
SG,SINGAPORE,26000,1190679,181050,10715188
ES,SPAIN,0,0,29,13636
TW,"TAIWAN, PROVINCE OF CHINA",387508,31004688,5392184,408023489
US,UNITED STATES,31800,2513332,380328,23840781
VN,VIETNAM,20485,722920,40210,1325652
SUM,SUM,1977720,150517554,17981893,1259981081
