"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
AT,AUSTRIA,0,0,30750,2212256
BE,BELGIUM,0,0,24000,2505431
CN,CHINA,22400,1476604,50375,3936921
FI,FINLAND,0,0,4000,472687
IN,INDIA,0,0,48000,3024834
IT,ITALY,12375,3070759,12375,3070759
JP,JAPAN,0,0,58000,4979090
KR,"KOREA,REPUBLIC OF",56050,3681715,689650,47354384
MY,MALAYSIA,10000,632441,35000,2248601
SA,SAUDI ARABIA,49500,2552631,49500,2552631
SG,SINGAPORE,0,0,1,849
SE,SWEDEN,11000,783092,177050,14493710
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,998240
AE,UNITED ARAB EMIRATES,49400,2691671,248300,13335426
US,UNITED STATES,19000,1756241,353289,22936223
VN,VIETNAM,33750,2408142,156750,11113212
SUM,SUM,263475,19053296,1948040,135235254
