"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1106,233947
AT,AUSTRIA,0,0,398750,24538384
BE,BELGIUM,155375,8948095,474400,28875029
BR,BRAZIL,9000,1530487,11143,1876215
CA,CANADA,0,0,4000,595338
CN,CHINA,1250,272378,281311,26045961
FR,FRANCE,50525,2812052,778825,42384726
DE,GERMANY,76325,6142322,278601,22272938
IN,INDIA,30,4110,235,48459
ID,INDONESIA,6000,554334,26112,2637770
IT,ITALY,0,0,6875,615768
JP,JAPAN,668736,48837665,4751640,330532422
KR,"KOREA,REPUBLIC OF",1675725,77731922,4303311,209726764
MY,MALAYSIA,48015,2127776,169847,7552205
NL,NETHERLANDS,24750,1647014,381862,26519647
NO,NORWAY,0,0,5,1720
SA,SAUDI ARABIA,396000,17196029,1485010,63110450
SG,SINGAPORE,3991602,191855495,25813147,1170374901
ES,SPAIN,25,2059,28,3722
SE,SWEDEN,0,0,108,175410
TW,"TAIWAN, PROVINCE OF CHINA",169050,8445661,1378264,64397604
AE,UNITED ARAB EMIRATES,384068,17468881,1816818,77643528
US,UNITED STATES,45783,3931169,206116,20335373
SUM,SUM,7702259,389507449,42567514,2120498281
