"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,90,130261
AT,AUSTRIA,10,11099,10,11099
BE,BELGIUM,1531,204060,3256,377369
BR,BRAZIL,841500,37440916,1806750,81833641
CA,CANADA,19960,155776,41160,326207
CN,CHINA,25900,1587957,419619,17587648
CZ,CZECH REPUBLIC,0,0,85,28253
DK,DENMARK,0,204,0,204
FI,FINLAND,49500,2983946,99000,6050115
DE,GERMANY,306377,22268817,616379,43664163
ID,INDONESIA,3850,1082203,6350,2396639
IT,ITALY,4000,847785,8275,1819722
JP,JAPAN,214319,17184717,372548,32854902
KR,"KOREA,REPUBLIC OF",223660,11412367,587755,31228152
KW,KUWAIT,272250,9080499,445500,15229102
LU,LUXEMBOURG,9075,1105094,16675,2109730
MY,MALAYSIA,5418678,190965377,13549228,487590719
NL,NETHERLANDS,519630,30666858,792167,50573545
NO,NORWAY,41710,2365446,58850,3346860
QA,QATAR,1096500,35918368,1963500,67972632
SA,SAUDI ARABIA,3210750,109770589,7826150,274855242
SG,SINGAPORE,1610854,60252135,3722604,144590121
CH,SWITZERLAND,20,19014,1460,242925
TW,"TAIWAN, PROVINCE OF CHINA",1250,161454,2150,293702
TH,THAILAND,1000,66531,127000,4662456
AE,UNITED ARAB EMIRATES,74250,2687301,272250,9478417
GB,UNITED KINGDOM,0,0,5000,753379
US,UNITED STATES,288012,12083462,390975,16439073
VN,VIETNAM,8673,225623,12673,741072
SUM,SUM,14243259,550547598,33147459,1297187350
