"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
AT,AUSTRIA,6000,610874,6000,610874
BE,BELGIUM,162650,15337350,162650,15337350
CA,CANADA,2750,600205,2750,600205
CN,CHINA,1117825,31612107,1117825,31612107
CZ,CZECH REPUBLIC,100,12296,100,12296
FI,FINLAND,25,2862,25,2862
DE,GERMANY,21250,1825011,21250,1825011
ID,INDONESIA,1,131,1,131
JP,JAPAN,281360,33852904,281360,33852904
KR,"KOREA,REPUBLIC OF",251500,15638940,251500,15638940
MY,MALAYSIA,50850,2642310,50850,2642310
SA,SAUDI ARABIA,24750,1359188,24750,1359188
SG,SINGAPORE,1844431,81384602,1844431,81384602
TW,"TAIWAN, PROVINCE OF CHINA",10025,1022652,10025,1022652
TH,THAILAND,55824,1494522,55824,1494522
AE,UNITED ARAB EMIRATES,249650,11114174,249650,11114174
US,UNITED STATES,1092570,86484449,1092570,86484449
VN,VIETNAM,182275,7432820,182275,7432820
SUM,SUM,5353836,292427397,5353836,292427397
