"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
BE,BELGIUM,12000,1282786,14500,1564157
CN,CHINA,13440,1150829,60440,5228387
DE,GERMANY,0,0,300,22398
IN,INDIA,0,0,105600,9159567
ID,INDONESIA,0,0,100,666
IT,ITALY,0,0,2750,495917
JP,JAPAN,0,0,31400,4284923
KR,"KOREA,REPUBLIC OF",31800,2710741,56500,4891723
MY,MALAYSIA,0,0,1375,436102
NZ,NEW ZEALAND,0,0,50,15511
SG,SINGAPORE,0,0,280420,14250814
SE,SWEDEN,0,0,24825,5001808
TH,THAILAND,0,0,50,11759
AE,UNITED ARAB EMIRATES,49400,2764169,150850,8391902
US,UNITED STATES,20638,1472602,141097,9837908
SUM,SUM,127278,9381127,870257,63593542
