"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'CIF (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'CIF (Baht)')"
BE,BELGIUM,12000,1268730,26500,2832887
CN,CHINA,100,36629,110040,9226115
DE,GERMANY,0,0,300,22398
IN,INDIA,0,0,181600,15719560
ID,INDONESIA,0,0,100,666
IT,ITALY,0,0,2750,495917
JP,JAPAN,0,0,51400,6738804
KR,"KOREA,REPUBLIC OF",25400,2192758,135300,11539915
MY,MALAYSIA,0,0,1375,436102
NZ,NEW ZEALAND,0,0,50,15511
SG,SINGAPORE,0,0,280520,14258971
SE,SWEDEN,2800,643261,27625,5645069
TH,THAILAND,0,0,50,11759
AE,UNITED ARAB EMIRATES,50700,2832751,252250,13998877
US,UNITED STATES,136933,10278453,350328,26377136
SUM,SUM,227933,17252582,1420188,107319687
