"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
AT,AUSTRIA,5500,596944,5500,596944
BE,BELGIUM,119860,8403101,209905,14916347
BR,BRAZIL,50000,2554832,125000,6150754
CN,CHINA,241569,17063254,1558334,102155112
FI,FINLAND,0,0,22800,2416201
FR,FRANCE,27000,2019183,27000,2019183
DE,GERMANY,22500,1704681,67501,5081440
IN,INDIA,2125,296302,2225,345465
ID,INDONESIA,22000,2053220,70100,6568156
IL,ISRAEL,24000,2234111,48000,4582951
JP,JAPAN,182221,12762535,568386,36707898
KR,"KOREA,REPUBLIC OF",1081650,50706581,2800600,133334743
MY,MALAYSIA,77219,5730644,118012,10521568
MM,MYANMAR,0,0,400,23623
OM,OMAN,99000,4410149,198000,8820298
SA,SAUDI ARABIA,1991239,86191559,3900739,170914791
SG,SINGAPORE,760724,44664318,1766112,96295271
ZA,SOUTH AFRICA,0,0,49500,2330363
TW,"TAIWAN, PROVINCE OF CHINA",412000,20572683,769570,39802117
AE,UNITED ARAB EMIRATES,125125,5383172,125125,5383172
US,UNITED STATES,3753,620727,319828,16406369
VN,VIETNAM,7000,636722,7050,644926
SUM,SUM,5254485,268604718,12759687,666017692
