"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'CIF (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,8740,852448
AT,AUSTRIA,225,92679,66075,6014914
BE,BELGIUM,11000,1735823,302916,23944646
CA,CANADA,12850,2016504,868258,50803229
CN,CHINA,319176,20187655,4273253,207590600
DK,DENMARK,0,0,1,11308
FI,FINLAND,0,0,49500,3315974
FR,FRANCE,11100,1039600,28350,3752818
DE,GERMANY,18345,2645961,1028428,86003732
GR,GREECE,0,0,1375,140165
HK,HONG KONG,78,30394,79219,1337782
IN,INDIA,6110,533544,48771,4181698
ID,INDONESIA,0,0,433,36485
IL,ISRAEL,2,1026,2,1026
IT,ITALY,0,0,5152,1257928
JP,JAPAN,259492,31167334,4486310,501534182
KR,"KOREA,REPUBLIC OF",183829,11304647,2282566,155858071
LU,LUXEMBOURG,0,0,415,86059
MY,MALAYSIA,10825,619899,406791,32682700
NL,NETHERLANDS,0,0,59425,5180816
PH,PHILIPPINES,0,0,2250,147463
QA,QATAR,612000,30708342,3347000,170857171
SA,SAUDI ARABIA,372100,18830628,5639730,289082828
SG,SINGAPORE,1159633,71658207,19963462,1181797521
ES,SPAIN,0,0,195250,9624307
LK,SRI LANKA,0,0,1,146
SE,SWEDEN,0,0,80000,3892504
CH,SWITZERLAND,0,0,0,3776
TW,"TAIWAN, PROVINCE OF CHINA",800,111868,1108682,72276864
TH,THAILAND,50,11910,16300,2154889
AE,UNITED ARAB EMIRATES,148500,7356120,3579154,191603795
GB,UNITED KINGDOM,25,8470,7350,1555984
US,UNITED STATES,461556,38105128,12062319,972894545
VN,VIETNAM,19160,1651321,134465,11494692
SUM,SUM,3606856,239817060,60131943,3991973066
