"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'CIF (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'CIF (Baht)')"
AU,AUSTRALIA,1000,99589,22431,1934473
BE,BELGIUM,5475,810510,83989,7922418
BR,BRAZIL,198000,18129245,3545276,275771568
CA,CANADA,0,0,145210,5736136
CN,CHINA,68407,4432460,1262363,82673311
DK,DENMARK,0,2522,200,58026
FI,FINLAND,24750,2232116,395450,35001781
FR,FRANCE,0,0,96430,11805296
DE,GERMANY,386314,31090276,4545968,383302320
HK,HONG KONG,0,0,121,2654336
IN,INDIA,0,0,1008,514445
ID,INDONESIA,0,0,22430,7178511
IE,IRELAND,1,3427,1,3427
IL,ISRAEL,0,0,9600,1101525
IT,ITALY,2600,641462,43668,15571668
JP,JAPAN,131920,14751668,1694891,153323611
KR,"KOREA,REPUBLIC OF",242100,14746319,2048815,120636362
KW,KUWAIT,643500,25999687,6732000,303038477
LU,LUXEMBOURG,3750,903708,31750,7032368
MY,MALAYSIA,6846943,345765046,44560414,2489240214
MX,MEXICO,0,0,3,2732
NL,NETHERLANDS,175000,19160443,2386920,224573424
NO,NORWAY,78210,7990742,486060,46893561
OM,OMAN,247500,10936667,1608750,71454878
PH,PHILIPPINES,0,0,1,229
QA,QATAR,1173000,59445208,10327500,549480348
SA,SAUDI ARABIA,3656180,173972907,28891874,1493604002
SG,SINGAPORE,1479000,87162103,16640775,1004624154
ES,SPAIN,0,0,25,12857
CH,SWITZERLAND,0,0,28,30778
TW,"TAIWAN, PROVINCE OF CHINA",3675,534101,235382,20647514
TH,THAILAND,0,0,171030,9596920
AE,UNITED ARAB EMIRATES,841575,37944889,4257075,210791463
GB,UNITED KINGDOM,1,4118,5171,1326362
US,UNITED STATES,51368,3113745,1496855,95331079
VN,VIETNAM,13005,2241226,353410,25048193
SUM,SUM,16273274,862114184,132102874,7657918767
