"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
BE,BELGIUM,25375,1272189,25375,1272189
BR,BRAZIL,350,105275,350,105275
CA,CANADA,527310,20098805,527310,20098805
CN,CHINA,2376,25435,2376,25435
ID,INDONESIA,55000,4795945,55000,4795945
JP,JAPAN,52000,5971556,52000,5971556
KW,KUWAIT,99000,3101033,99000,3101033
MY,MALAYSIA,398847,14390563,398847,14390563
NL,NETHERLANDS,120000,5591392,120000,5591392
OM,OMAN,198000,6785731,198000,6785731
QA,QATAR,280500,9558238,280500,9558238
SA,SAUDI ARABIA,3824700,141072078,3824700,141072078
SG,SINGAPORE,136000,5330256,136000,5330256
SE,SWEDEN,3474,353823,3474,353823
TW,"TAIWAN, PROVINCE OF CHINA",2020,1821514,2020,1821514
AE,UNITED ARAB EMIRATES,371250,12525402,371250,12525402
US,UNITED STATES,148750,5711159,148750,5711159
VN,VIETNAM,262,50104,262,50104
SUM,SUM,6245214,238560498,6245214,238560498
