"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
AT,AUSTRIA,29375,2098820,29375,2098820
CN,CHINA,0,0,27975,2460317
FI,FINLAND,4000,472687,4000,472687
IN,INDIA,0,0,48000,3024834
JP,JAPAN,2000,280497,58000,4979090
KR,"KOREA,REPUBLIC OF",45000,2955123,460000,31219565
MY,MALAYSIA,25000,1616160,25000,1616160
SG,SINGAPORE,0,0,1,849
SE,SWEDEN,63800,4478805,125800,9935549
TW,"TAIWAN, PROVINCE OF CHINA",11000,998240,11000,998240
AE,UNITED ARAB EMIRATES,62400,3397648,185900,9939755
US,UNITED STATES,263191,15919817,271764,16535643
VN,VIETNAM,11000,794962,112000,7915599
SUM,SUM,516766,33012759,1358815,91197108
