"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
BR,BRAZIL,0,0,26,13519
CN,CHINA,0,0,33,10767
DE,GERMANY,0,0,87,56556
JP,JAPAN,0,62775,10694,1687960
KR,"KOREA,REPUBLIC OF",0,0,52500,2515865
MY,MALAYSIA,0,0,66000,3255896
SA,SAUDI ARABIA,123750,5949017,840500,36859884
ES,SPAIN,0,0,198000,7893282
AE,UNITED ARAB EMIRATES,0,0,148500,6995429
SUM,SUM,123750,6011792,1316340,59289158
