"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'CIF (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,220850,18437255
BE,BELGIUM,79250,4935635,1140739,60883554
BR,BRAZIL,0,0,23375,2588273
CA,CANADA,209590,8643682,1722390,61256358
CN,CHINA,197000,10682167,1335026,69582509
DE,GERMANY,0,0,208,81746
HK,HONG KONG,0,0,24750,1053699
IN,INDIA,9000,1260510,71650,4692537
ID,INDONESIA,766800,33804342,6909525,271558833
IL,ISRAEL,0,0,30044,2628256
JP,JAPAN,70450,6338610,962774,88683546
KR,"KOREA,REPUBLIC OF",108800,5074841,922194,46067939
KW,KUWAIT,0,0,2970000,107535902
MY,MALAYSIA,95346,4398301,1893960,79717457
NL,NETHERLANDS,0,0,35750,2009666
OM,OMAN,148500,5578867,297200,11566136
QA,QATAR,25500,1266958,2931750,109526055
SA,SAUDI ARABIA,3382950,141777988,36930970,1386287323
SG,SINGAPORE,148500,7585302,4036275,174041959
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1705,3451626
AE,UNITED ARAB EMIRATES,435125,20886133,9811600,387064379
GB,UNITED KINGDOM,0,0,100,38111
US,UNITED STATES,559243,32852912,5487450,258856724
VN,VIETNAM,0,0,2255,159356
SUM,SUM,6236054,285086248,77762540,3147769199
