"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'CIF (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'CIF (Baht)')"
AU,AUSTRALIA,116,29711,116,29711
BE,BELGIUM,197720,7487401,264250,10224065
BR,BRAZIL,144375,11174742,526625,37976479
CA,CANADA,0,0,5080,291804
CN,CHINA,50487,3999979,111226,8236788
FR,FRANCE,22000,895848,77000,3134746
DE,GERMANY,211390,13978487,219540,22398980
ID,INDONESIA,1525,125720,2075,145673
IT,ITALY,267130,9910509,338825,13403531
JP,JAPAN,1240824,56298763,2315206,105040068
KR,"KOREA,REPUBLIC OF",1176050,41147815,2415850,83212726
KW,KUWAIT,272250,8788790,544500,16750217
MY,MALAYSIA,222600,7472558,660125,21154503
NL,NETHERLANDS,500,136712,500,136712
PT,PORTUGAL,0,0,225,11427
QA,QATAR,762700,25123017,1722000,55083773
SA,SAUDI ARABIA,1241230,40272415,2521480,79871670
SG,SINGAPORE,1948300,69255715,3611610,128361308
TW,"TAIWAN, PROVINCE OF CHINA",189500,8084922,337800,14497565
AE,UNITED ARAB EMIRATES,1311750,45137804,2376000,77185536
US,UNITED STATES,1336298,49889515,3191184,117188022
SUM,SUM,10596745,399210423,21241217,794335304
