"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'CIF (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,10000,942780
CN,CHINA,79,9637,50305,4075407
IT,ITALY,0,0,57612,9205075
JP,JAPAN,0,0,4,12916
KR,"KOREA,REPUBLIC OF",150000,11215388,1012021,74647065
MY,MALAYSIA,4000,378213,28925,3827321
PH,PHILIPPINES,0,0,3000,551862
ES,SPAIN,0,0,1148,28323
TW,"TAIWAN, PROVINCE OF CHINA",0,0,54,12681
GB,UNITED KINGDOM,1800,164743,36615,3120384
US,UNITED STATES,0,0,10650,1128287
VN,VIETNAM,0,0,2403,567895
SUM,SUM,155879,11767981,1212737,98119996
