"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'CIF (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,2138734
CN,CHINA,0,2000,0,2000
HK,HONG KONG,0,26400,0,27700
JP,JAPAN,53251,7402445,211852,31273908
KR,"KOREA,REPUBLIC OF",0,0,372105,16688405
MY,MALAYSIA,7000,640553,11000,1059754
QA,QATAR,16500,892549,33000,1774467
SA,SAUDI ARABIA,0,0,300,33628
SG,SINGAPORE,0,0,12000,774791
ES,SPAIN,0,0,83,49136
TW,"TAIWAN, PROVINCE OF CHINA",19000,1238294,105700,7494335
US,UNITED STATES,0,0,8,6842
SUM,SUM,95751,10202241,765048,61323700
