"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'CIF (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,22500,813086
BD,BANGLADESH,0,0,100,16769
BE,BELGIUM,54750,3284638,194275,9762127
CA,CANADA,0,0,17000,1379910
CN,CHINA,291855,11953159,703905,24926078
DE,GERMANY,42,31079,42,31079
IT,ITALY,36000,2175389,93355,7069403
JP,JAPAN,178570,10273324,639171,39105080
KR,"KOREA,REPUBLIC OF",1878800,89639013,4849200,235193716
MY,MALAYSIA,36350,2660234,99086,7150066
SA,SAUDI ARABIA,321750,12831632,990000,41315673
SG,SINGAPORE,0,33,240000,12220960
TW,"TAIWAN, PROVINCE OF CHINA",838500,39517428,2530004,120354008
US,UNITED STATES,55950,5418888,215587,18862168
VN,VIETNAM,17760,253141,21240,471206
SUM,SUM,3710327,178037958,10615465,518671329
