"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'CIF (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'CIF (Baht)')"
BE,BELGIUM,24750,1192960,155375,7384201
CN,CHINA,4000,753756,22088,3883522
DE,GERMANY,1200,55160,1214,59262
IT,ITALY,1375,112233,1375,112233
JP,JAPAN,12165,894326,87314,6722100
KR,"KOREA,REPUBLIC OF",40000,1949126,188400,9250993
MY,MALAYSIA,0,0,40025,823650
QA,QATAR,51000,2030845,153000,6539670
SA,SAUDI ARABIA,21600,1033529,243900,11252512
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6500,768078
UA,UKRAINE,0,0,5125,207761
AE,UNITED ARAB EMIRATES,0,0,24750,951799
GB,UNITED KINGDOM,0,0,26,20747
US,UNITED STATES,0,0,835,536413
VN,VIETNAM,0,208,1010,35081
SUM,SUM,156090,8022143,930937,48548022
