"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'CIF (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'CIF (Baht)')"
BE,BELGIUM,155875,8924925,209875,12573751
CA,CANADA,17000,1254601,51000,2910911
CN,CHINA,108552,7066631,162152,10209783
DE,GERMANY,0,0,10000,831907
IN,INDIA,0,0,2000,137845
JP,JAPAN,219747,13859919,364360,23393531
KR,"KOREA,REPUBLIC OF",170523,9807664,435523,24687752
LA,LAO PDR,0,0,4,11613
MY,MALAYSIA,233120,7663279,274190,10599300
SA,SAUDI ARABIA,148500,7307797,148500,7307797
SG,SINGAPORE,69800,3877119,69800,3877119
TW,"TAIWAN, PROVINCE OF CHINA",52175,3574051,179675,11264886
GB,UNITED KINGDOM,0,0,243,183399
US,UNITED STATES,13900,979185,258400,14165872
VN,VIETNAM,0,0,13740,463453
SUM,SUM,1189192,64315171,2179462,122618919
