"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,64000,2101952
BE,BELGIUM,72680,5114699,72680,5114699
CN,CHINA,34800,2103136,62800,3279242
FR,FRANCE,0,0,11000,863719
DE,GERMANY,3155,3751563,15295,10900294
GT,GUATEMALA,0,0,25,36357
IN,INDIA,6,1432,6,1432
JP,JAPAN,1760645,107586423,3314489,206432851
KR,"KOREA,REPUBLIC OF",51100,2875907,85175,4697305
KW,KUWAIT,569250,28536984,1212750,60651853
MY,MALAYSIA,776200,43027277,1177212,65185196
QA,QATAR,714300,37078593,2125840,111812440
SA,SAUDI ARABIA,3093750,159464897,6053500,308188754
SG,SINGAPORE,1090070,57681694,1958360,102866666
TW,"TAIWAN, PROVINCE OF CHINA",325,15783,24455,827825
AE,UNITED ARAB EMIRATES,618750,33190548,1905750,97062580
US,UNITED STATES,139509,7962990,244186,17297339
SUM,SUM,8924540,488391926,18327523,997320504
