"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
AT,AUSTRIA,0,0,828,380985
BE,BELGIUM,0,0,200375,10381552
CA,CANADA,142,61009,430,196286
CN,CHINA,2451135,115983287,9867542,479107609
CZ,CZECH REPUBLIC,1275,452786,1700,512944
FR,FRANCE,2750,179402,3110,252176
DE,GERMANY,9040,2261078,40312,9376062
HK,HONG KONG,0,0,214,35887
IN,INDIA,45753,1299286,231068,6303587
ID,INDONESIA,27575,2616559,168170,16386485
IT,ITALY,1025,96046,52825,2921804
JP,JAPAN,887221,63983322,4076121,291004904
KR,"KOREA,REPUBLIC OF",1986324,90308475,10459036,482429493
MY,MALAYSIA,80689,5204560,337053,31074908
NL,NETHERLANDS,99100,8507494,496100,43273007
NZ,NEW ZEALAND,488,506948,2135,2180533
PH,PHILIPPINES,0,0,304000,12428224
RU,RUSSIAN FEDERATION,0,0,150,29266
SA,SAUDI ARABIA,2018760,80622087,13749260,547896223
SG,SINGAPORE,913333,48796678,5295375,273172141
SK,SLOVAKIA,0,0,9700,625647
ZA,SOUTH AFRICA,24750,1002182,74250,2856615
ES,SPAIN,22000,1708413,22000,1708413
TW,"TAIWAN, PROVINCE OF CHINA",287270,12646786,1324129,60020888
TH,THAILAND,23000,1097197,87550,4568320
AE,UNITED ARAB EMIRATES,46750,1905739,376850,15182705
US,UNITED STATES,11543,1218148,93806,8764925
VN,VIETNAM,223,153413,26460,3574478
SUM,SUM,8940146,440610895,47300549,2306646067
