"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2015', 'Quantity')","('Apr 2015', 'CIF (Baht)')","('Jan - Apr 2015', 'Quantity')","('Jan - Apr 2015', 'CIF (Baht)')"
AT,AUSTRIA,0,0,300,289496
BE,BELGIUM,112600,5864032,218570,13359343
CA,CANADA,8000,1416087,16000,2831186
CN,CHINA,26510,2891286,107107,15276554
CZ,CZECH REPUBLIC,0,0,100,57006
FR,FRANCE,193875,8739103,270737,13977731
DE,GERMANY,8260,1116877,14210,2126092
HK,HONG KONG,1000,157942,8500,791015
IN,INDIA,0,0,36000,2086935
ID,INDONESIA,11250,1181216,46250,5280318
IT,ITALY,0,0,50,22704
JP,JAPAN,1011287,64752781,4547260,306739687
KR,"KOREA,REPUBLIC OF",446250,20145269,1449675,71204083
MY,MALAYSIA,26000,1298302,135200,6273834
NL,NETHERLANDS,148500,7775708,767625,49653757
SA,SAUDI ARABIA,420750,16951257,1163250,48537731
SG,SINGAPORE,4676280,217930187,20406555,994762764
ES,SPAIN,100,19707,150,67977
TW,"TAIWAN, PROVINCE OF CHINA",274000,13376187,921040,44032817
TH,THAILAND,5625,343523,23200,1303682
AE,UNITED ARAB EMIRATES,257125,11096346,925625,36443228
GB,UNITED KINGDOM,0,0,8000,793479
US,UNITED STATES,92164,8355280,258840,26048293
VN,VIETNAM,0,0,22000,1213733
SUM,SUM,7719576,383411090,31346244,1643173445
