"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
AT,AUSTRIA,0,0,18000,1778404
BE,BELGIUM,119175,10100105,714500,59891140
BR,BRAZIL,0,0,50,40144
CA,CANADA,650,205548,12900,3640677
CN,CHINA,690635,23047306,6547027,231634553
CZ,CZECH REPUBLIC,0,0,100,12296
FI,FINLAND,0,0,50,5414
FR,FRANCE,0,0,635,171301
DE,GERMANY,62001,4603409,200578,15005586
HK,HONG KONG,24060,310047,162679,1813510
IN,INDIA,0,0,8600,1526447
ID,INDONESIA,0,0,1,131
IL,ISRAEL,0,0,20,17567
IT,ITALY,56,11177,39921,3057188
JP,JAPAN,248068,27668684,3031303,267931744
KR,"KOREA,REPUBLIC OF",180350,10263319,3799232,215176141
LU,LUXEMBOURG,0,0,12500,854475
MY,MALAYSIA,86946,3471559,275618,13197793
NL,NETHERLANDS,5000,644700,20121,2544730
NO,NORWAY,0,0,1,860
PH,PHILIPPINES,0,0,25007,235271
QA,QATAR,52020,1550999,128520,4124869
SA,SAUDI ARABIA,198020,5902704,314320,10587485
SG,SINGAPORE,1518930,57594341,14760309,591632338
ES,SPAIN,100,16892,50650,5410454
SE,SWEDEN,40000,2917046,80000,5689332
CH,SWITZERLAND,0,0,150,10607
TW,"TAIWAN, PROVINCE OF CHINA",16000,551533,77117,5222964
TH,THAILAND,34940,1481334,1510210,31039757
TR,TÜRKIYE,0,0,50750,1507039
UA,UKRAINE,0,0,10,2752
AE,UNITED ARAB EMIRATES,229275,8811242,790425,31842825
GB,UNITED KINGDOM,1600,606060,58579,4007257
US,UNITED STATES,2343270,99543370,8268731,541284974
VN,VIETNAM,110000,3587345,618280,28500868
SUM,SUM,5961096,262888720,41576894,2079398893
