"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
AU,AUSTRALIA,30000,1703750,678082,18626451
AT,AUSTRIA,0,0,11000,616407
BE,BELGIUM,33020,2153942,730970,40756627
BR,BRAZIL,20000,2336731,219500,20660958
CA,CANADA,11000,609023,40711,3049651
CN,CHINA,10400,773778,2304060,105625733
DK,DENMARK,27,14494,27,14494
FI,FINLAND,0,0,46750,2574007
FR,FRANCE,0,0,1600,92997
DE,GERMANY,21900,6435572,273745,41829619
HK,HONG KONG,0,0,22,4633
IN,INDIA,0,0,1000,167776
ID,INDONESIA,1075,65746,46326,2062855
IL,ISRAEL,0,0,25,12667
IT,ITALY,52120,2181694,195331,10043798
JP,JAPAN,1932763,91978745,12347900,659636556
KR,"KOREA,REPUBLIC OF",182730,9038644,914585,43422694
KW,KUWAIT,618750,28950411,5593500,241365691
MY,MALAYSIA,210007,10032178,2585782,114790947
NL,NETHERLANDS,33300,2172207,33400,2254742
QA,QATAR,519000,24915628,5218500,235696185
SA,SAUDI ARABIA,3861000,176066130,25348850,1082976168
SG,SINGAPORE,1987320,92863422,14890409,654368642
CH,SWITZERLAND,0,0,80,74769
TW,"TAIWAN, PROVINCE OF CHINA",36060,2088528,87635,5401085
TH,THAILAND,0,0,26,4627
AE,UNITED ARAB EMIRATES,690300,30846554,9206650,384114350
GB,UNITED KINGDOM,0,0,20,4738
US,UNITED STATES,1638939,84078829,3888652,202469282
VN,VIETNAM,0,0,500,32442
SUM,SUM,11889711,569306006,84665638,3872751591
