"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1,212
BR,BRAZIL,0,0,1,708
CN,CHINA,1,145,25820,1116785
FR,FRANCE,2500,458241,16411,3256278
DE,GERMANY,0,0,4,1198
HK,HONG KONG,0,0,24,18620
IN,INDIA,0,0,18,1954
IL,ISRAEL,0,0,72000,4939861
IT,ITALY,0,0,6,2304
JP,JAPAN,27565,3036030,356063,44594973
KR,"KOREA,REPUBLIC OF",90400,6095319,1114795,74925516
MY,MALAYSIA,25,12247,27,12570
OM,OMAN,0,0,49500,1634480
PA,PANAMA,0,0,2,11466
QA,QATAR,17000,490631,170000,5354797
CH,SWITZERLAND,0,0,1,1157
TW,"TAIWAN, PROVINCE OF CHINA",0,0,866,197772
TH,THAILAND,0,0,24950,709713
GB,UNITED KINGDOM,0,0,1008,274082
US,UNITED STATES,40408,1179976,40432,1217993
SUM,SUM,177899,11272589,1871929,138272439
