"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
AU,AUSTRALIA,16000,396908,86000,3584583
AT,AUSTRIA,0,0,12,104746
BE,BELGIUM,282185,22244908,708185,47593086
BR,BRAZIL,0,0,300,87619
CA,CANADA,96060,4406717,552980,22968693
CN,CHINA,287000,20421365,2525270,155460405
DK,DENMARK,180,218555,1108,1047114
FI,FINLAND,123750,8772655,569250,35820491
FR,FRANCE,0,0,4,23363
DE,GERMANY,38010,3575878,219555,21997697
HK,HONG KONG,0,0,289000,28627150
ID,INDONESIA,52500,2236822,131802,8396667
IL,ISRAEL,0,0,10,4152
JP,JAPAN,266953,25398155,3553154,274073939
KR,"KOREA,REPUBLIC OF",261000,16463548,1901161,108059971
KW,KUWAIT,668350,30432436,3118600,127560115
MY,MALAYSIA,3321199,151719287,19811404,920385461
NL,NETHERLANDS,0,0,8254,710578
NZ,NEW ZEALAND,16000,390461,32000,774098
NO,NORWAY,0,0,49500,2800662
QA,QATAR,204000,9361820,1147700,51720946
SA,SAUDI ARABIA,1534294,78570034,11455194,509649156
SG,SINGAPORE,1651738,85229332,11410808,557201410
ES,SPAIN,144000,15382610,584000,60116770
CH,SWITZERLAND,1020,241731,17200,3641590
TW,"TAIWAN, PROVINCE OF CHINA",11796,1098210,112446,7988434
AE,UNITED ARAB EMIRATES,0,0,495000,20789616
GB,UNITED KINGDOM,0,0,14234,802288
US,UNITED STATES,278654,18176868,2539454,138586334
VN,VIETNAM,0,0,11500,713383
SUM,SUM,9254689,494738300,61345085,3111290517
