"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
AT,AUSTRIA,230,419254,1421,2151815
BE,BELGIUM,0,0,41992,4228194
BR,BRAZIL,382,136305,5348,1929343
CA,CANADA,0,0,6002,855306
CN,CHINA,418709,26196027,1928848,112455600
CZ,CZECH REPUBLIC,0,0,2,682
EG,EGYPT,0,0,1,2528
FR,FRANCE,47040,2680711,178649,10597610
DE,GERMANY,23281,6370688,64879,17104919
HK,HONG KONG,0,0,214252,18082071
IN,INDIA,182,56388,437,109380
ID,INDONESIA,0,0,22606,1997579
IT,ITALY,1520,219939,2282,333482
JP,JAPAN,164992,26489106,1421733,226770510
KR,"KOREA,REPUBLIC OF",369200,25552876,2606950,151490950
MY,MALAYSIA,175404,13179482,785895,59647723
NL,NETHERLANDS,142200,13111836,582715,51501059
NO,NORWAY,0,0,420,160905
SA,SAUDI ARABIA,120000,6127859,1032750,43950384
SG,SINGAPORE,128550,18481492,536956,68341972
ZA,SOUTH AFRICA,0,0,0,185
CH,SWITZERLAND,0,0,430,345942
TW,"TAIWAN, PROVINCE OF CHINA",300,185860,11288,3264310
TH,THAILAND,45000,2772523,45025,2777963
AE,UNITED ARAB EMIRATES,321750,15984121,3663000,162141739
GB,UNITED KINGDOM,0,0,45200,5962050
US,UNITED STATES,233397,39339185,1050085,167439565
VN,VIETNAM,5000,459907,72309,6089706
SUM,SUM,2197137,197763559,14321475,1119733472
