"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'CIF (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5341,772831
AT,AUSTRIA,20,31120,240,187745
BE,BELGIUM,198000,9073886,2079011,103033159
BZ,BELIZE,0,0,60,39660
BR,BRAZIL,0,0,3500,893625
KH,CAMBODIA,0,0,25,3861
CN,CHINA,871213,44837203,11931463,605673858
CZ,CZECH REPUBLIC,0,0,30,47985
FI,FINLAND,23375,1417330,194116,12085432
FR,FRANCE,5000,483954,209985,11096748
DE,GERMANY,25000,3983171,115046,29697606
HK,HONG KONG,0,0,473,267964
IN,INDIA,1650,231547,4087964,144192563
ID,INDONESIA,33267,3980736,261163,28757139
IL,ISRAEL,0,0,162095,11662293
IT,ITALY,0,0,93658,8855847
JP,JAPAN,993599,72949313,13238122,893551280
KP,KOREA DPR,153000,5405914,153000,5405914
KR,"KOREA,REPUBLIC OF",2795342,127237412,21161472,990588964
KW,KUWAIT,0,0,50,17832
MY,MALAYSIA,107232,14338648,1138057,141657326
NL,NETHERLANDS,51625,4740047,487253,44492884
NZ,NEW ZEALAND,0,0,740,394111
PH,PHILIPPINES,0,0,104,23921
QA,QATAR,25500,1052117,42000,1748017
SA,SAUDI ARABIA,4730630,172021875,49773597,1755352476
SG,SINGAPORE,1613905,80063355,16578042,842209740
ZA,SOUTH AFRICA,396000,14331040,1138500,41407001
ES,SPAIN,11000,994787,29100,2073607
SE,SWEDEN,0,0,25000,956625
TW,"TAIWAN, PROVINCE OF CHINA",44975,2703463,570854,26871256
TH,THAILAND,15100,819497,111575,5372712
TR,TÜRKIYE,0,0,1470,195147
UA,UKRAINE,11000,427891,19250,769250
AE,UNITED ARAB EMIRATES,779625,27389940,3921060,143242994
GB,UNITED KINGDOM,200,127778,3003,335470
US,UNITED STATES,53050,4729606,651846,56267052
VN,VIETNAM,222674,8838035,698078,27970397
SUM,SUM,13161982,602209665,128886343,5938172292
