"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
AT,AUSTRIA,24750,1379852,24750,1379852
BR,BRAZIL,1139100,58109868,1139100,58109868
CN,CHINA,17021,1768068,17021,1768068
FI,FINLAND,49500,2795430,49500,2795430
DE,GERMANY,323978,22313408,323978,22313408
JP,JAPAN,322404,23860883,322404,23860883
KR,"KOREA,REPUBLIC OF",255000,15269086,255000,15269086
KW,KUWAIT,346500,14646981,346500,14646981
MY,MALAYSIA,1962328,90401950,1962328,90401950
NL,NETHERLANDS,247770,14474792,247770,14474792
QA,QATAR,892000,38804595,892000,38804595
SA,SAUDI ARABIA,2208600,98651224,2208600,98651224
SG,SINGAPORE,2178150,112094360,2178150,112094360
AE,UNITED ARAB EMIRATES,168380,5349974,168380,5349974
GB,UNITED KINGDOM,8004,1261347,8004,1261347
US,UNITED STATES,54957,4723216,54957,4723216
VN,VIETNAM,27000,1773226,27000,1773226
SUM,SUM,10225442,507678260,10225442,507678260
