"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'CIF (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'CIF (Baht)')"
BE,BELGIUM,3820,663407,33090,3712165
CA,CANADA,3540,621048,19540,3447622
CN,CHINA,42000,6032918,277700,41569528
FR,FRANCE,153500,10983433,212560,17613249
DE,GERMANY,381,195851,7738,2172102
HK,HONG KONG,500,45384,2500,231234
ID,INDONESIA,12550,1417708,44950,4971629
IT,ITALY,11000,943920,96250,6967288
JP,JAPAN,1374769,93487798,6847388,506426701
KR,"KOREA,REPUBLIC OF",388500,23067311,1940012,115935279
MY,MALAYSIA,32500,1725518,234560,12897081
NL,NETHERLANDS,83875,6041006,389125,29532475
NZ,NEW ZEALAND,0,0,662,255639
SA,SAUDI ARABIA,155750,8313032,1059975,55381903
SG,SINGAPORE,5250100,292134768,23390154,1310725095
ZA,SOUTH AFRICA,0,0,99000,5005968
ES,SPAIN,0,0,5500,681090
TW,"TAIWAN, PROVINCE OF CHINA",144500,9212288,608100,38198059
TH,THAILAND,0,0,2000,154768
AE,UNITED ARAB EMIRATES,123750,6335310,629750,32348698
GB,UNITED KINGDOM,8000,838141,8000,838141
US,UNITED STATES,161095,10960005,208793,16377620
VN,VIETNAM,9000,2592496,58300,21427364
SUM,SUM,7959130,475611342,36175647,2226870698
