"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
AU,AUSTRALIA,408,37996,4580,1540543
AT,AUSTRIA,0,0,1375,36280
BE,BELGIUM,50,52035,110801,10077191
BR,BRAZIL,0,0,2250,278357
KH,CAMBODIA,0,0,5,1814
CN,CHINA,25753,622928,172545,13581395
FI,FINLAND,74250,3453651,445700,21983120
FR,FRANCE,0,0,0,2136
DE,GERMANY,490536,32344189,1504440,100465104
HK,HONG KONG,0,0,100,23302
IN,INDIA,0,0,1957,475613
ID,INDONESIA,48500,2525142,111530,7155096
JP,JAPAN,333527,23271323,1580361,109690825
KR,"KOREA,REPUBLIC OF",312910,17426807,1500047,84370710
KW,KUWAIT,321750,12370723,1559250,62420860
MY,MALAYSIA,2933690,132627332,16536302,701268833
NL,NETHERLANDS,409230,23471114,1288900,73774515
NZ,NEW ZEALAND,0,0,1,6929
PH,PHILIPPINES,0,0,9,2473
PL,POLAND,0,0,8003,1324547
QA,QATAR,892500,35733799,3236000,130150235
SA,SAUDI ARABIA,3262250,137445084,14389688,582609107
SG,SINGAPORE,2517050,116651892,12764865,575356882
ES,SPAIN,24750,1104820,36250,2079292
SE,SWEDEN,0,0,1375,79648
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12550,2293877
TH,THAILAND,0,0,935,89016
AE,UNITED ARAB EMIRATES,247500,10474120,847737,34579185
GB,UNITED KINGDOM,0,0,5024,1164782
US,UNITED STATES,22915,2471064,420171,37483468
VN,VIETNAM,0,0,14050,1979756
SUM,SUM,11917569,552084019,56556801,2556344891
