"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'CIF (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'CIF (Baht)')"
AU,AUSTRALIA,32000,1277418,97104,4320465
BE,BELGIUM,49560,3214134,600390,34267001
BR,BRAZIL,0,0,5500,409351
CA,CANADA,0,0,20956,1497645
CN,CHINA,4100,429259,352240,17115392
FR,FRANCE,0,0,61925,5183085
DE,GERMANY,24550,5855723,297665,77166774
IN,INDIA,625,45681,4691,403635
ID,INDONESIA,3065,184703,221740,10188448
IT,ITALY,24750,1498188,52250,3626386
JP,JAPAN,2053745,123049754,14163024,791300751
KR,"KOREA,REPUBLIC OF",680,121674,170290,8438699
KW,KUWAIT,792000,35216142,4752000,204013322
LU,LUXEMBOURG,0,0,600,144530
MY,MALAYSIA,768500,35957075,3915025,174533000
NL,NETHERLANDS,0,0,700,184375
NZ,NEW ZEALAND,75,35653,75,35653
QA,QATAR,3471620,167274347,24333479,1119128820
RU,RUSSIAN FEDERATION,1250,120675,1272,133017
SA,SAUDI ARABIA,3122750,142136462,17869250,784811189
SG,SINGAPORE,1507940,72411675,11541166,527120704
ES,SPAIN,375,97299,375,97299
SE,SWEDEN,11000,821787,22000,1633724
TW,"TAIWAN, PROVINCE OF CHINA",75,11643,226375,10734198
TH,THAILAND,0,0,215322,9461112
AE,UNITED ARAB EMIRATES,297000,14083373,6269950,269567369
GB,UNITED KINGDOM,0,0,9999,2072329
US,UNITED STATES,298000,15247574,2222550,106441405
VN,VIETNAM,0,0,200,17392
SUM,SUM,12463660,619090239,87428113,4164047070
