"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'CIF (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'CIF (Baht)')"
AU,AUSTRALIA,100,28405,100,28405
BE,BELGIUM,35750,2247851,35750,2247851
CA,CANADA,12000,638477,12000,638477
CN,CHINA,34388,1378989,34388,1378989
DE,GERMANY,21000,1890559,21000,1890559
HK,HONG KONG,240,23619,240,23619
JP,JAPAN,56858,5274040,56858,5274040
KR,"KOREA,REPUBLIC OF",309250,14724279,309250,14724279
MY,MALAYSIA,219600,7988034,219600,7988034
MX,MEXICO,1008,149130,1008,149130
NL,NETHERLANDS,1,1487,1,1487
SG,SINGAPORE,17600,769678,17600,769678
TW,"TAIWAN, PROVINCE OF CHINA",131300,7401997,131300,7401997
US,UNITED STATES,22242,1951320,22242,1951320
VN,VIETNAM,27780,618597,27780,618597
SUM,SUM,889117,45086462,889117,45086462
