"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'CIF (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'CIF (Baht)')"
AT,AUSTRIA,8000,910094,22875,2510614
BE,BELGIUM,49500,4590040,505090,39232968
BR,BRAZIL,0,0,150000,7379933
CN,CHINA,496225,41790887,7051379,448502586
CZ,CZECH REPUBLIC,0,0,10000,303575
FI,FINLAND,0,0,69550,7546524
FR,FRANCE,38000,3506811,136500,11091304
DE,GERMANY,30075,2979209,261627,21968412
HK,HONG KONG,0,0,1,2934
IN,INDIA,373100,20879357,1272804,66378281
ID,INDONESIA,85001,7620159,436253,38195502
IL,ISRAEL,24000,2556403,91200,8999128
IT,ITALY,0,0,2889,75582
JP,JAPAN,385047,21618372,2711512,181627246
KR,"KOREA,REPUBLIC OF",1409650,71702030,11710305,587995930
MY,MALAYSIA,53736,3002058,423422,33940871
MX,MEXICO,0,0,765,65227
MM,MYANMAR,0,0,400,23623
NG,NIGERIA,1,683,1,683
OM,OMAN,544500,24239716,1707750,75073723
PH,PHILIPPINES,0,0,32000,1537341
SA,SAUDI ARABIA,1388250,60448631,20088637,905454990
SG,SINGAPORE,759475,51876165,6046273,371427696
ZA,SOUTH AFRICA,49500,2456741,397375,19540917
ES,SPAIN,22000,2920880,66300,7859865
TW,"TAIWAN, PROVINCE OF CHINA",92160,6740290,2078315,111991847
TH,THAILAND,0,0,17100,917828
AE,UNITED ARAB EMIRATES,159500,7280890,906125,41319098
GB,UNITED KINGDOM,11000,1161822,11000,1161822
US,UNITED STATES,36808,4497048,504707,38539244
VN,VIETNAM,50,9372,520125,25141185
SUM,SUM,6015578,342787658,57232280,3055806479
