"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'CIF (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,150,49408
AT,AUSTRIA,198000,10208407,371250,19075694
BE,BELGIUM,44425,2609369,112400,6586672
BR,BRAZIL,0,0,200,58427
CA,CANADA,0,0,11000,647584
CN,CHINA,0,0,69750,5413148
DE,GERMANY,0,0,2750,305561
ID,INDONESIA,27000,2515061,132695,12440327
IL,ISRAEL,100,3263,100,3263
JP,JAPAN,210090,12860802,1530705,100621435
KR,"KOREA,REPUBLIC OF",0,0,22400,1373811
KW,KUWAIT,123750,6259110,742500,37302734
MY,MALAYSIA,1317400,71246055,6903200,380005009
NL,NETHERLANDS,20000,1207946,120000,7245842
QA,QATAR,153000,7738536,790500,39482179
SA,SAUDI ARABIA,2029500,104092916,12638850,642684389
SG,SINGAPORE,306500,17078039,1355000,74050063
AE,UNITED ARAB EMIRATES,198000,10281092,1854725,98624151
US,UNITED STATES,68116,6697611,732780,54450522
SUM,SUM,4695881,252798207,27390955,1480420219
