"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,66175,5492469
BE,BELGIUM,74250,4270493,76125,4463087
BR,BRAZIL,250,31217,250,31217
CA,CANADA,227940,10010382,436190,19030978
CN,CHINA,27120,1552235,29170,1577801
ID,INDONESIA,622975,28935680,1030225,47823517
JP,JAPAN,54800,4958585,124047,12300111
KR,"KOREA,REPUBLIC OF",54000,4126842,70000,5681936
KW,KUWAIT,123750,4957557,321750,13510574
MY,MALAYSIA,20000,1155621,20000,1155621
OM,OMAN,74250,3209041,74250,3209041
PH,PHILIPPINES,5,706,5,706
QA,QATAR,102000,3822642,484500,20724607
SA,SAUDI ARABIA,2662300,116247893,5050600,222024371
SG,SINGAPORE,266975,13272793,529475,26511738
TW,"TAIWAN, PROVINCE OF CHINA",40,8375,40,8375
AE,UNITED ARAB EMIRATES,420750,20282787,1089000,52932926
US,UNITED STATES,1117634,60972931,1529795,82998473
VN,VIETNAM,1000,59842,1000,59842
SUM,SUM,5850039,277875622,10932597,519537390
