"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'CIF (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,56375,2305978
CA,CANADA,0,0,386,110578
CN,CHINA,1,192,19829,212509
DK,DENMARK,3,738,3,738
FR,FRANCE,0,0,2,1794
DE,GERMANY,51,15089,119,69481
IN,INDIA,3000,257890,3002,258319
JP,JAPAN,7500,566302,481003,11061176
KR,"KOREA,REPUBLIC OF",0,0,3,916
MY,MALAYSIA,0,0,1129,233034
QA,QATAR,127500,3562107,408000,12485720
SA,SAUDI ARABIA,148500,4551668,342900,11556826
SG,SINGAPORE,0,0,0,89
ES,SPAIN,0,0,2,1277
CH,SWITZERLAND,0,0,2,1974
TW,"TAIWAN, PROVINCE OF CHINA",12000,1547340,35001,4680752
AE,UNITED ARAB EMIRATES,0,0,11,6831
GB,UNITED KINGDOM,102,70332,297,136514
US,UNITED STATES,0,0,37643,350800
VN,VIETNAM,7000,301410,82000,3713574
SUM,SUM,305657,10873068,1467707,47188880
