"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'CIF (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,157668,7287643
AT,AUSTRIA,0,0,12,104746
BE,BELGIUM,67375,5346632,1157845,74407564
BR,BRAZIL,0,0,1050,161706
CA,CANADA,0,0,1041160,43302097
CN,CHINA,198050,13073309,4048278,257239683
DK,DENMARK,74,88785,1456,1934282
SZ,ESWATINI,0,0,7940,1306524
FI,FINLAND,0,0,1039500,67998430
FR,FRANCE,0,0,5504,495387
DE,GERMANY,21907,2202745,510073,53177872
HK,HONG KONG,0,0,289000,28627150
IN,INDIA,0,0,1200,104575
ID,INDONESIA,1250,289218,138226,11066268
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,247500,10921233
IL,ISRAEL,10,4757,51304,420972
IT,ITALY,0,0,205,80302
JP,JAPAN,251120,18936852,4885736,402545198
KR,"KOREA,REPUBLIC OF",436400,21843471,3629661,200930007
KW,KUWAIT,569250,23883453,6509350,266219878
LI,LIECHTENSTEIN,0,0,6,11043
MY,MALAYSIA,2862764,123989024,40443178,1815000139
MX,MEXICO,0,0,350000,15363718
NL,NETHERLANDS,50960,4234448,803974,64853683
NZ,NEW ZEALAND,16000,381676,160450,5077667
NO,NORWAY,49500,3252669,99000,6053331
QA,QATAR,994500,41047066,5329700,222959675
SA,SAUDI ARABIA,1784700,78746696,24839594,1083032848
SG,SINGAPORE,1413500,66172564,21756191,1043299997
ES,SPAIN,208000,22103878,1307000,134317725
CH,SWITZERLAND,480,80688,20780,4448766
TW,"TAIWAN, PROVINCE OF CHINA",800,115153,159796,12291318
AE,UNITED ARAB EMIRATES,296800,12238818,1385400,57244201
GB,UNITED KINGDOM,0,0,16234,1158407
US,UNITED STATES,383991,22041579,4841678,271955742
VN,VIETNAM,3000,434985,23270,2574092
SUM,SUM,9610431,460508466,125258919,6167973869
