"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'CIF (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,108,45991
AT,AUSTRIA,0,0,2750,231487
BD,BANGLADESH,0,0,36,7135
BE,BELGIUM,60600,2561149,544214,24295171
BR,BRAZIL,0,0,1100,189966
CA,CANADA,0,0,34250,2424630
CN,CHINA,102099,2255276,1914014,57932446
FR,FRANCE,0,0,49500,2270559
DE,GERMANY,0,0,32460,1699339
HK,HONG KONG,0,0,55,9203
IN,INDIA,4001,6772788,10166,20065259
ID,INDONESIA,0,0,1,715
IT,ITALY,10525,638359,220375,23730984
JP,JAPAN,382407,18177723,2701352,143760966
KR,"KOREA,REPUBLIC OF",788350,37164987,15245673,650304711
MY,MALAYSIA,5382,635299,398378,25160454
PT,PORTUGAL,7776,841087,62208,6762369
SA,SAUDI ARABIA,99000,4162261,940500,37298414
SG,SINGAPORE,11000,310616,174961,5963015
ES,SPAIN,0,0,6,2980
SE,SWEDEN,0,0,53200,2033716
TW,"TAIWAN, PROVINCE OF CHINA",1384800,75683319,9398003,431021360
TH,THAILAND,0,0,22075,952926
GB,UNITED KINGDOM,0,0,21095,2127932
US,UNITED STATES,180083,6436084,1540560,74063080
VN,VIETNAM,19650,625544,127189,4833293
SUM,SUM,3055673,156264492,33494229,1517188101
