"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2,12350
BE,BELGIUM,74250,3805954,134800,8717704
CA,CANADA,17000,1590561,34000,3225390
CN,CHINA,33325,2315956,142781,8078112
DE,GERMANY,1680,424850,64708,5760639
IN,INDIA,0,0,3,4134
ID,INDONESIA,8613,906268,25177,2186765
IT,ITALY,5010,678597,19585,2652127
JP,JAPAN,84025,8758061,530136,42911277
KR,"KOREA,REPUBLIC OF",232925,15179734,1464117,89586231
MY,MALAYSIA,138473,5893536,857619,36391474
SG,SINGAPORE,24880,1553458,212680,10783250
ZA,SOUTH AFRICA,0,0,49,11837
SE,SWEDEN,1100,39475,1148,59583
CH,SWITZERLAND,0,0,10000,1164400
TW,"TAIWAN, PROVINCE OF CHINA",46700,3295423,319100,21299551
GB,UNITED KINGDOM,0,0,6300,1139968
US,UNITED STATES,59262,5551029,418132,46996220
VN,VIETNAM,0,0,168398,3592971
SUM,SUM,727243,49992902,4408735,284573983
