"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'CIF (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2700,149871
AT,AUSTRIA,0,0,22500,1829969
BE,BELGIUM,424470,33775759,2325985,167338712
BR,BRAZIL,0,0,8853,1463965
CN,CHINA,177903,14247800,554743,39579946
FR,FRANCE,225,50391,49925,3446274
DE,GERMANY,8755,2797259,233855,25483691
HK,HONG KONG,0,0,101,29557
IN,INDIA,113210,6864269,599611,36002325
ID,INDONESIA,70500,8047487,171082,18681793
JP,JAPAN,1256655,117286173,4600856,366926290
KR,"KOREA,REPUBLIC OF",1904975,92734348,7012650,329014051
MY,MALAYSIA,24000,1478839,275500,26374567
NL,NETHERLANDS,99000,8336956,493125,43109600
SA,SAUDI ARABIA,910260,43617721,2710060,122224162
SG,SINGAPORE,2710300,163930807,13047681,723322711
ES,SPAIN,11825,1282519,26250,2791548
CH,SWITZERLAND,0,0,34560,2386564
TW,"TAIWAN, PROVINCE OF CHINA",143260,9148634,359720,24098545
TH,THAILAND,2000,191069,2000,191069
AE,UNITED ARAB EMIRATES,456500,21429096,2176625,97284838
US,UNITED STATES,41436,4968759,203348,25106949
VN,VIETNAM,0,0,4425,667335
SUM,SUM,8355274,530187886,34916155,2057504332
