"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,1967184
CN,CHINA,0,0,10,2310
JP,JAPAN,146585,12762524,532760,48493474
KR,"KOREA,REPUBLIC OF",0,0,84000,3856870
MY,MALAYSIA,0,0,12500,600125
NL,NETHERLANDS,19000,1874600,19000,1874600
QA,QATAR,0,0,33000,1402967
SG,SINGAPORE,5000,316605,5000,316605
TW,"TAIWAN, PROVINCE OF CHINA",141631,7105260,285631,13215052
TH,THAILAND,0,0,950,51581
SUM,SUM,312216,22058989,991851,71780768
