"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,32793,1795265
BD,BANGLADESH,0,0,350,65462
BE,BELGIUM,26847,1135085,493647,25639774
CA,CANADA,17000,1159568,56132,4554213
CN,CHINA,142555,6812206,2138965,89487607
FR,FRANCE,0,0,24750,1126477
DE,GERMANY,0,0,42,31079
HK,HONG KONG,0,0,53,13907
IN,INDIA,1,306,11276,21008117
IT,ITALY,25250,2783904,308330,26946813
JP,JAPAN,146850,8814404,1683340,103173573
KR,"KOREA,REPUBLIC OF",1963400,93172150,13431222,656169671
MY,MALAYSIA,56241,3741512,323930,24017229
PT,PORTUGAL,9456,929363,35188,3804433
SA,SAUDI ARABIA,247500,10272455,2747250,111007226
SG,SINGAPORE,264000,13489190,1530975,79225071
ES,SPAIN,0,0,25,22371
SE,SWEDEN,24750,805729,24750,805729
TW,"TAIWAN, PROVINCE OF CHINA",889500,42342227,6627289,325618650
GB,UNITED KINGDOM,0,0,5430,443321
US,UNITED STATES,70699,4379774,715000,53624596
VN,VIETNAM,1200,81852,44560,1504875
SUM,SUM,3885249,189919725,30235297,1530085459
