"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
AT,AUSTRIA,22000,2866380,22000,2866380
BE,BELGIUM,24000,4073814,24000,4073814
CN,CHINA,25975,2529105,25975,2529105
DE,GERMANY,50000,4899775,50000,4899775
JP,JAPAN,100,6366,100,6366
KR,"KOREA,REPUBLIC OF",182603,16789744,182603,16789744
SE,SWEDEN,40000,4689786,40000,4689786
AE,UNITED ARAB EMIRATES,52000,2329494,52000,2329494
US,UNITED STATES,69052,6496814,69052,6496814
SUM,SUM,465730,44681278,465730,44681278
