"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'CIF (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'CIF (Baht)')"
BE,BELGIUM,9500,1182879,19950,2502227
CN,CHINA,32,6476,32,6476
CZ,CZECH REPUBLIC,0,0,44,54648
FI,FINLAND,0,0,17,9244
FR,FRANCE,0,0,1500,311083
HK,HONG KONG,0,0,25,5890
IN,INDIA,0,0,330,53522
IT,ITALY,0,0,6000,818821
JP,JAPAN,1100,968316,185314,27156030
KR,"KOREA,REPUBLIC OF",0,0,109506,5503067
MY,MALAYSIA,0,0,12000,1091206
QA,QATAR,16500,682037,181500,7716013
SG,SINGAPORE,0,0,11475,1717302
TW,"TAIWAN, PROVINCE OF CHINA",0,0,32010,1813767
TH,THAILAND,0,0,2400,160383
AE,UNITED ARAB EMIRATES,0,0,1375,62805
VN,VIETNAM,0,0,16495,565955
SUM,SUM,27132,2839708,579973,49548439
