"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
CN,CHINA,0,0,7883,1434287
FR,FRANCE,0,0,2,1376
HK,HONG KONG,0,0,15,6257
IN,INDIA,11,2030,447,26794
JP,JAPAN,534,158040,5746,1877459
KR,"KOREA,REPUBLIC OF",0,0,2500,407785
MY,MALAYSIA,0,0,3,606
SG,SINGAPORE,0,0,8107,809166
TW,"TAIWAN, PROVINCE OF CHINA",25,5080,76,61095
AE,UNITED ARAB EMIRATES,0,0,53,22313
US,UNITED STATES,0,513,0,513
SUM,SUM,570,165663,24832,4647651
