"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
BE,BELGIUM,79175,5835668,79175,5835668
CA,CANADA,1500,458093,1500,458093
CN,CHINA,1372522,67262617,1372522,67262617
FR,FRANCE,150,33415,150,33415
DE,GERMANY,29253,2742290,29253,2742290
HK,HONG KONG,16,5148,16,5148
IN,INDIA,2,171,2,171
JP,JAPAN,304761,32770381,304761,32770381
KR,"KOREA,REPUBLIC OF",531395,28439629,531395,28439629
MY,MALAYSIA,40487,2196158,40487,2196158
NL,NETHERLANDS,6000,684297,6000,684297
SG,SINGAPORE,724120,26669964,724120,26669964
ES,SPAIN,378,100094,378,100094
TW,"TAIWAN, PROVINCE OF CHINA",18175,808089,18175,808089
TH,THAILAND,113450,7300165,113450,7300165
AE,UNITED ARAB EMIRATES,70700,2175068,70700,2175068
GB,UNITED KINGDOM,24260,593653,24260,593653
US,UNITED STATES,1649445,82879092,1649445,82879092
VN,VIETNAM,24500,1181114,24500,1181114
SUM,SUM,4990289,262135106,4990289,262135106
