"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
BE,BELGIUM,24000,2481538,48000,5006612
CN,CHINA,35000,2715960,35000,2715960
HK,HONG KONG,41910,1984890,48400,2546368
JP,JAPAN,200,41514,200,41514
KR,"KOREA,REPUBLIC OF",206403,13088759,503603,31938653
MY,MALAYSIA,12000,837193,22000,1547551
SE,SWEDEN,75750,6809939,75750,6809939
AE,UNITED ARAB EMIRATES,52000,2462762,115700,5467091
US,UNITED STATES,21546,2207147,36506,3808247
VN,VIETNAM,16000,932643,32000,1861405
SUM,SUM,484809,33562345,917159,61743340
