"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
BE,BELGIUM,23763,1204111,23763,1204111
CN,CHINA,346707,13855997,346707,13855997
DE,GERMANY,10000,1278623,10000,1278623
HK,HONG KONG,234,73722,234,73722
IN,INDIA,50,270373,50,270373
JP,JAPAN,903800,70825711,903800,70825711
KR,"KOREA,REPUBLIC OF",1146850,96756913,1146850,96756913
MY,MALAYSIA,16090,1987572,16090,1987572
NL,NETHERLANDS,34333,1360725,34333,1360725
SA,SAUDI ARABIA,99000,4859441,99000,4859441
TW,"TAIWAN, PROVINCE OF CHINA",1376000,100417431,1376000,100417431
US,UNITED STATES,31018,3598928,31018,3598928
VN,VIETNAM,20125,714568,20125,714568
SUM,SUM,4007970,297204115,4007970,297204115
