"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
CA,CANADA,0,0,6250,933688
CN,CHINA,17000,2335043,51661,8377191
DE,GERMANY,22,35047,1015,411943
HK,HONG KONG,0,0,1,96
IN,INDIA,0,0,14795,822499
JP,JAPAN,5000,703925,37292,6116521
TR,TÜRKIYE,1080,61735,1080,61735
GB,UNITED KINGDOM,0,0,276,133478
US,UNITED STATES,0,0,123,126126
SUM,SUM,23102,3135750,112493,16983277
