"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
BE,BELGIUM,24000,2425351,168600,17408434
CN,CHINA,45000,2948001,143300,10834824
FR,FRANCE,0,0,2200,294148
DE,GERMANY,16950,3162217,22075,4201966
IT,ITALY,0,0,9200,2031222
JP,JAPAN,1999,705024,14680,2521891
KR,"KOREA,REPUBLIC OF",15000,1321627,76800,6973870
LU,LUXEMBOURG,0,0,2,1168
MY,MALAYSIA,5500,1265020,5500,1265020
QA,QATAR,0,0,255000,11466849
SG,SINGAPORE,91500,5779158,1130600,50035842
SE,SWEDEN,0,0,23800,3023309
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,37449
AE,UNITED ARAB EMIRATES,0,0,440000,21609236
US,UNITED STATES,58003,6032091,569498,58329696
VN,VIETNAM,0,0,1000,127502
SUM,SUM,257952,23638489,2862355,190162426
