"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
BE,BELGIUM,259090,12844175,259090,12844175
BR,BRAZIL,11000,1078048,11000,1078048
KH,CAMBODIA,5,1814,5,1814
CN,CHINA,5100,573818,5100,573818
DE,GERMANY,802,1942204,802,1942204
HK,HONG KONG,25,7830,25,7830
IN,INDIA,25,3616,25,3616
IT,ITALY,31750,2503659,31750,2503659
JP,JAPAN,1660184,83720879,1660184,83720879
KR,"KOREA,REPUBLIC OF",228275,10332638,228275,10332638
KW,KUWAIT,792000,32899970,792000,32899970
MY,MALAYSIA,2,2013,2,2013
NO,NORWAY,2040,312083,2040,312083
QA,QATAR,660500,28160920,660500,28160920
SA,SAUDI ARABIA,3465000,137084433,3465000,137084433
SG,SINGAPORE,2384590,102834133,2384590,102834133
SE,SWEDEN,6,3913,6,3913
TW,"TAIWAN, PROVINCE OF CHINA",16000,628298,16000,628298
AE,UNITED ARAB EMIRATES,718100,29314762,718100,29314762
US,UNITED STATES,193943,10284813,193943,10284813
SUM,SUM,10428437,454534019,10428437,454534019
