"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,72000,6899258
CA,CANADA,500,54927,500,54927
CN,CHINA,6650,3748685,94650,10770495
FR,FRANCE,0,0,23100,2121342
DE,GERMANY,22000,4160332,59850,11176892
IN,INDIA,2000,221432,2000,221432
IT,ITALY,0,0,13750,2757378
JP,JAPAN,140,17041,690,308120
KR,"KOREA,REPUBLIC OF",17800,1133566,103300,8171249
MY,MALAYSIA,600,74380,6100,952827
SG,SINGAPORE,25500,1115262,357025,15052684
SE,SWEDEN,5600,1096781,22400,3380533
CH,SWITZERLAND,0,0,0,1757
TH,THAILAND,800,73317,800,73317
AE,UNITED ARAB EMIRATES,24700,1198849,206700,9710066
US,UNITED STATES,21047,2052499,129958,9751392
VN,VIETNAM,0,0,1000,124251
SUM,SUM,127337,14947071,1093823,81527920
